term,estimate,p.value,conf.low,conf.high,w_GAVI,w_GACI,w_VGVI
age,0.9944592072296016,0.073,0.9884368514969896,1.0005078789404216,0.1,0.1,0.1
AHEIScore,1.000998688080574,0.675,0.996343769148312,1.0056772531149696,0.1,0.1,0.1
householdIncome,1.0388584715711513,0.137,0.9879573420390474,1.0924636427183128,0.1,0.1,0.1
alcohol,1.0044483617982187,0.688,0.9829186333987711,1.0264615973215818,0.1,0.1,0.1
smoker_Yes,1.0751783023941572,0.411,0.9044922713170993,1.2781682324372214,0.1,0.1,0.1
sex_Male,1.1209361318786695,0.192,0.9442388760297877,1.33086632538439,0.1,0.1,0.1
VSDI,0.9746441238947714,0.942,0.4769302506899784,1.986284669624745,0.1,0.1,0.1
CGEI,1.0105432892660438,0.692,0.9594108414261892,1.0644339411805823,0.1,0.1,0.1
age,0.994468772815852,0.073,0.9884471931657448,1.0005166951388924,0.1,0.1,0.2
AHEIScore,1.000997180980185,0.675,0.9963413214329322,1.0056766964252044,0.1,0.1,0.2
householdIncome,1.0390175099239791,0.135,0.9881221386053765,1.0926164826063338,0.1,0.1,0.2
alcohol,1.0044440997301545,0.688,0.9829141343257273,1.0264575317901932,0.1,0.1,0.2
smoker_Yes,1.075339029747143,0.41,0.9046153129162778,1.2783770699382242,0.1,0.1,0.2
sex_Male,1.1208893123142116,0.192,0.9441941711154226,1.3308179853423279,0.1,0.1,0.2
VSDI,0.9757807489996411,0.945,0.4774411346754612,1.9889308763038447,0.1,0.1,0.2
CGEI,1.0081762890799573,0.728,0.9628756057096127,1.0556292498190416,0.1,0.1,0.2
age,0.9944729702958501,0.073,0.9884516989292447,1.0005205944121476,0.1,0.1,0.30000000000000004
AHEIScore,1.0009950297697545,0.676,0.9963389099344094,1.0056748042929664,0.1,0.1,0.30000000000000004
householdIncome,1.0390784147664773,0.135,0.9881832367083021,1.0926772462439696,0.1,0.1,0.30000000000000004
alcohol,1.0044443356259825,0.688,0.982914258548331,1.026457871283753,0.1,0.1,0.30000000000000004
smoker_Yes,1.0754602036984888,0.41,0.9047175219016282,1.2785211877298808,0.1,0.1,0.30000000000000004
sex_Male,1.1208931435150842,0.192,0.9441952796418716,1.3308255470819013,0.1,0.1,0.30000000000000004
VSDI,0.9760522793037479,0.945,0.47753874974044225,1.9896622847272538,0.1,0.1,0.30000000000000004
CGEI,1.0070160534675732,0.748,0.9649121077632533,1.0509736402619345,0.1,0.1,0.30000000000000004
age,0.9944752054318515,0.073,0.9884540898692616,1.0005226786742025,0.1,0.1,0.4
AHEIScore,1.0009934999145211,0.676,0.9963372808361387,1.0056733715999808,0.1,0.1,0.4
householdIncome,1.0391085536629492,0.135,0.988212875959724,1.09270797617527,0.1,0.1,0.4
alcohol,1.0044450040254176,0.688,0.9829148652696574,1.0264585995695543,0.1,0.1,0.4
smoker_Yes,1.075537797074983,0.409,0.9047843902207983,1.2786114712530874,0.1,0.1,0.4
sex_Male,1.120901467791511,0.192,0.9442012131380904,1.3308369912371654,0.1,0.1,0.4
VSDI,0.9761381826120007,0.946,0.4775580669724652,1.9899406526931172,0.1,0.1,0.4
CGEI,1.0063669815568763,0.76,0.9661739104848781,1.0482462965243566,0.1,0.1,0.4
age,0.9944765718384366,0.074,0.9884555483907161,1.0005239558145662,0.1,0.1,0.5
AHEIScore,1.000992420759941,0.677,0.9963361557543498,1.0056723365587992,0.1,0.1,0.5
householdIncome,1.039126119733792,0.134,0.9882299109656054,1.092726153114349,0.1,0.1,0.5
alcohol,1.0044456157998827,0.688,0.982915438462272,1.0264592497677691,0.1,0.1,0.5
smoker_Yes,1.0755901263233514,0.409,0.9048299285258616,1.278671735216694,0.1,0.1,0.5
sex_Male,1.1209089089600213,0.192,0.9442068405560029,1.3308467638720658,0.1,0.1,0.5
VSDI,0.976168717334279,0.946,0.4775576463934517,1.9900691919846463,0.1,0.1,0.5
CGEI,1.0059584894449736,0.768,0.9670206162029685,1.0464771319111439,0.1,0.1,0.5
age,0.9944774876051,0.074,0.988456524455396,1.0005248131161277,0.1,0.1,0.6
AHEIScore,1.0009916315255334,0.677,0.9963353425012074,1.0056715698779666,0.1,0.1,0.6
householdIncome,1.0391374986632838,0.134,0.9882408305374499,1.0927380558866444,0.1,0.1,0.6
alcohol,1.0044461189513572,0.688,0.9829159153417326,1.0264597795140253,0.1,0.1,0.6
smoker_Yes,1.075627441650828,0.409,0.9048625851291161,1.2787144494311546,0.1,0.1,0.6
sex_Male,1.1209149744572107,0.192,0.944211529018288,1.3308545863777996,0.1,0.1,0.6
VSDI,0.9761791018902813,0.946,0.47755175709346553,1.9901362402275065,0.1,0.1,0.6
